Designator,Mid X,Mid Y,Rotation,Layer
C1,73.004694,-38.325,270.0,bottom
C2,62.025,-47.275,180.0,top
C3,89.75,-47.425,0.0,top
C32,84.430128,-53.8,0.0,bottom
C33,84.555,-45.36,0.0,bottom
C34,66.719999,-50.075,180.0,bottom
C35,66.644924,-41.850076,180.0,bottom
C36,86.080127,-53.8,0.0,bottom
C37,86.204999,-45.36,0.0,bottom
C38,65.07,-50.075,180.0,bottom
C39,64.994924,-41.850076,180.0,bottom
C42,73.804694,-38.32,270.0,bottom
C43,76.4208,-34.086649,0.0,bottom
C44,76.16,-41.83,0.0,bottom
C45,82.275,-40.485,90.0,bottom
C46,76.35,-42.859999,0.0,bottom
C48,76.01,-50.27,0.0,bottom
C49,82.150128,-48.925,90.0,bottom
C50,76.225128,-51.299999,0.0,bottom
C53,82.805128,-53.8,0.0,bottom
C57,85.480128,-48.2,180.0,bottom
C59,82.93,-45.36,0.0,bottom
C6_60,81.325,-37.475,270.0,top
C6_59,79.505,-41.675,90.0,top
C6_58,81.325,-45.875,270.0,top
C6_57,77.525,-37.475,270.0,top
C6_56,68.105,-41.675,90.0,top
C6_55,68.105,-58.475,90.0,top
C6_54,68.025,-37.475,270.0,top
C6_53,77.605,-41.675,90.0,top
C6_52,83.225,-54.275,270.0,top
C6_51,83.225,-45.875,270.0,top
C6_50,83.225,-37.475,270.0,top
C6_49,66.205,-50.075,90.0,top
C6_48,70.005,-41.675,90.0,top
C6_47,66.205,-41.675,90.0,top
C6_46,68.025,-54.275,270.0,top
C6_45,73.725,-37.475,270.0,top
C6_44,77.605,-58.475,90.0,top
C6_43,75.705,-58.475,90.0,top
C6_42,68.105,-50.075,90.0,top
C6_41,71.825,-54.275,270.0,top
C6_40,85.205,-58.475,90.0,top
C6_39,71.825,-37.475,270.0,top
C6_38,69.925,-37.475,270.0,top
C6_37,71.825,-45.875,270.0,top
C6_36,75.705,-41.675,90.0,top
C6_35,73.725,-54.275,270.0,top
C6_34,77.525,-54.275,270.0,top
C6_33,79.505,-58.475,90.0,top
C6_32,69.925,-45.875,270.0,top
C6_31,81.325,-54.275,270.0,top
C6_30,73.805,-41.675,90.0,top
C6_29,83.305,-50.075,90.0,top
C6_28,75.625,-54.275,270.0,top
C6_27,81.405,-41.675,90.0,top
C6_26,75.625,-37.475,270.0,top
C6_25,85.125,-54.275,270.0,top
C6_24,79.505,-50.075,90.0,top
C6_23,71.905,-58.475,90.0,top
C6_22,73.805,-58.475,90.0,top
C6_21,79.425,-54.275,270.0,top
C6_20,85.125,-37.475,270.0,top
C6_19,85.205,-41.675,90.0,top
C6_18,85.125,-45.875,270.0,top
C6_17,71.905,-50.075,90.0,top
C6_16,66.125,-54.275,270.0,top
C6_15,83.305,-41.675,90.0,top
C6_14,85.205,-50.075,90.0,top
C6_13,79.425,-45.875,270.0,top
C6_12,81.405,-50.075,90.0,top
C6_11,66.125,-45.875,270.0,top
C6_10,68.025,-45.875,270.0,top
C6_9,66.125,-37.475,270.0,top
C6_8,83.305,-58.475,90.0,top
C6_7,70.005,-58.475,90.0,top
C6_6,71.905,-41.675,90.0,top
C6_5,81.405,-58.475,90.0,top
C6_4,79.425,-37.475,270.0,top
C6_3,66.205,-58.475,90.0,top
C6_2,69.925,-54.275,270.0,top
C6,70.005,-50.075,90.0,top
C63,85.605,-39.76,180.0,bottom
C64,74.922999,-53.6,0.0,bottom
C65,68.999999,-54.95,270.0,bottom
C66,74.924999,-52.575001,180.0,bottom
C69,74.2208,-37.011649,0.0,bottom
C70,76.525,-37.05,0.0,bottom
C71,74.975,-39.55,180.0,bottom
C72,70.9458,-34.661649,90.0,bottom
C73,68.344999,-50.075,180.0,bottom
C77,65.669999,-55.675,0.0,bottom
C78,74.97,-45.375076,180.0,bottom
C79,68.924924,-46.725076,270.0,bottom
C80,74.849924,-44.350076,180.0,bottom
C83,68.269924,-41.850076,180.0,bottom
C88,65.594924,-47.450076,0.0,bottom
C93,77.390923,-54.725305,0.0,bottom
C94,70.999999,-37.234077,0.0,bottom
D1,80.64,-63.5,0.0,top
FB1,76.327,-41.31,180.0,bottom
FB2,76.202128,-49.75,180.0,bottom
FB3,74.947999,-54.125,0.0,bottom
FB4,74.872924,-45.900076,0.0,bottom
J1,75.575,-27.375,180.0,bottom
Q1,79.105,-60.85,270.0,bottom
Q10,61.32,-37.925,270.0,top
Q11,91.83,-56.6375,90.0,bottom
Q12,91.85,-37.8,90.0,bottom
Q13,61.505,-51.395,270.0,top
Q14,59.34,-56.61,270.0,bottom
Q15,59.365,-37.895,270.0,bottom
Q16,90.04,-51.405,90.0,top
Q17,84.455,-32.225,90.0,top
Q18,72.125,-60.8375,90.0,bottom
Q19,66.865,-32.28,270.0,top
Q2,85.465,-60.1,180.0,bottom
Q20,61.33,-43.32,270.0,top
Q21,91.83,-51.18,90.0,bottom
Q22,84.45,-32.225,90.0,bottom
Q23,65.815,-60.135,180.0,bottom
Q24,59.355,-43.34,270.0,bottom
Q3,91.85,-43.22,90.0,bottom
Q4,59.34,-51.195,270.0,bottom
Q5,66.865,-32.28,270.0,bottom
Q6,90.04,-56.805,90.0,top
Q7,90.03,-43.245,90.0,top
